Approved Symbol	Approved Name	Entrez Gene ID	Mouse Genome Database ID	RefSeq IDs
EPHB6	EPH receptor B6	2051	MGI:1096338	
EPHT1~withdrawn	symbol withdrawn, see EPHA1			
EPHT2~withdrawn	symbol withdrawn, see EPHB1			
EPHT3~withdrawn	symbol withdrawn, see EPHB2			
EPHTLG~withdrawn	entry withdrawn			
EPHX1	epoxide hydrolase 1	2052	MGI:95405	NM_000120
EPHX2	epoxide hydrolase 2	2053	MGI:99500	NM_001979
EPHX3	epoxide hydrolase 3	79852	MGI:1919182	NM_024794
EPHX4	epoxide hydrolase 4	253152	MGI:2686228	NM_173567
EPLG1~withdrawn	symbol withdrawn, see EFNA1			
EPLG2~withdrawn	symbol withdrawn, see EFNB1			
EPLG3~withdrawn	symbol withdrawn, see EFNA3			
EPLG4~withdrawn	symbol withdrawn, see EFNA4			
EPLG5~withdrawn	symbol withdrawn, see EFNB2			
EPLG6~withdrawn	symbol withdrawn, see EFNA2			
EPLG7~withdrawn	symbol withdrawn, see EFNA5			
EPLG8~withdrawn	symbol withdrawn, see EFNB3			
EPM1~withdrawn	symbol withdrawn, see CSTB			
EPM2A	EPM2A, laforin glucan phosphatase	7957	MGI:1341085	
EPM2AIP1	EPM2A interacting protein 1	9852	MGI:1925031	NM_014805
EPMR~withdrawn	symbol withdrawn, see CLN8			
EPN1	epsin 1	29924	MGI:1333763	NM_013333
EPN2	epsin 2	22905	MGI:1333766	NM_014964
EPN2-AS1	EPN2 antisense RNA 1	100874018		NR_048576
EPN2-IT1	EPN2 intronic transcript 1	100874309		NR_046824
EPN3	epsin 3	55040	MGI:1919139	NM_017957
EPO	erythropoietin	2056	MGI:95407	NM_000799
EPOP	elongin BC and polycomb repressive complex 2 associated protein	100170841	MGI:2143991	NM_001130677
EPOR	erythropoietin receptor	2057	MGI:95408	
EPPIN	epididymal peptidase inhibitor	57119	MGI:1922776	
EPPIN-WFDC6	EPPIN-WFDC6 readthrough	100526773		NM_001198986.1
EPPK1	epiplakin 1	83481	MGI:2386306	NM_031308
EPR1~withdrawn	entry withdrawn			
EPRS	glutamyl-prolyl-tRNA synthetase	2058	MGI:97838	NM_004446
EPS8	epidermal growth factor receptor pathway substrate 8	2059	MGI:104684	
EPS8L1	EPS8 like 1	54869	MGI:1914675	NM_017729
EPS8L2	EPS8 like 2	64787	MGI:2138828	NM_022772
EPS8L3	EPS8 like 3	79574	MGI:2139743	NM_024526
EPS15	epidermal growth factor receptor pathway substrate 15	2060	MGI:104583	NM_001981
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1	58513	MGI:104582	NM_021235
EPS15P1	epidermal growth factor receptor pathway substrate 15 pseudogene 1	55380		NG_008280
EPSTI1	epithelial stromal interaction 1	94240	MGI:1915168	NM_001002264
EPT~withdrawn	symbol withdrawn, see LGI1			
EPVE6AP~withdrawn	symbol withdrawn, see UBE3A			
EPX	eosinophil peroxidase	8288	MGI:107569	NM_000502
EPYC	epiphycan	1833	MGI:107942	NM_004950
EQTN	equatorin	54586	MGI:1915003	NM_020641
ERAL1	Era like 12S mitochondrial rRNA chaperone 1	26284	MGI:1889295	
ERAP1	endoplasmic reticulum aminopeptidase 1	51752	MGI:1933403	NM_016442
ERAP2	endoplasmic reticulum aminopeptidase 2	64167		NM_022350
ERAS	ES cell expressed Ras	3266	MGI:2665023	NM_181532
ERBA1~withdrawn	symbol withdrawn, see THRA			
ERBA2~withdrawn	symbol withdrawn, see THRB			
ERBA2L~withdrawn	symbol withdrawn, see P4HB			
ERBAL2~withdrawn	symbol withdrawn, see NR2F6			
ERBAL3~withdrawn	symbol withdrawn, see NR2F1			
ERBB2	erb-b2 receptor tyrosine kinase 2	2064	MGI:95410	NM_004448
ERBB3	erb-b2 receptor tyrosine kinase 3	2065	MGI:95411	NM_001982
ERBB4	erb-b2 receptor tyrosine kinase 4	2066	MGI:104771	NM_001042599
ERBIN	erbb2 interacting protein	55914	MGI:1890169	NM_018695
ERC1	ELKS/RAB6-interacting/CAST family member 1	23085	MGI:2151013	NM_015064
ERC2	ELKS/RAB6-interacting/CAST family member 2	26059	MGI:1098749	NM_015576
ERC2-IT1	ERC2 intronic transcript 1	711		NR_024615
ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	2067	MGI:95412	NM_001983
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	2068	MGI:95413	NM_000400
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	2071	MGI:95414	NM_000122
ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	2072	MGI:1354163	NM_005236
ERCC5	ERCC excision repair 5, endonuclease	2073	MGI:103582	
ERCC6	ERCC excision repair 6, chromatin remodeling factor	2074	MGI:1100494	NM_000124
ERCC6-PGBD3~withdrawn	entry withdrawn			
ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase	54821	MGI:2654144	NM_017669
ERCC6L2	ERCC excision repair 6 like 2	375748	MGI:1923501	NM_001010895
ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit	1161	MGI:1919241	NM_000082
ERCM1	excision repair complementing defective repair in mouse cells			
ERCM2~withdrawn	symbol withdrawn, see ERCC5			
ERDA1	expanded repeat domain, CAG/CTG 1	9030		
EREG	epiregulin	2069	MGI:107508	
ERF	ETS2 repressor factor	2077	MGI:109637	NM_006494
ERF1~withdrawn	symbol withdrawn, see ETF1			
ERFE	erythroferrone	151176	MGI:3606476	XM_001127207
ERG	ERG, ETS transcription factor	2078	MGI:95415	NM_182918
ERG28	ergosterol biosynthesis 28 homolog	11161	MGI:1915571	NM_007176
ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1	57222	MGI:1914708	NM_020462
ERGIC2	ERGIC and golgi 2	51290	MGI:1914706	NM_016570
ERGIC3	ERGIC and golgi 3	51614	MGI:1913616	NM_015966
ERH	ERH, mRNA splicing and mitosis factor	2079	MGI:108089	NM_004450
ERHP1	ERH pseudogene 1	100507125		
ERHP2	ERH pseudogene 2			
ERI1	exoribonuclease 1	90459	MGI:1914526	NM_153332
ERI2	ERI1 exoribonuclease family member 2	112479	MGI:1918401	NM_080663
ERI3	ERI1 exoribonuclease family member 3	79033	MGI:2153887	NM_024066
ERI3-IT1	ERI3 intronic transcript 1			
ERICD	E2F1-regulated inhibitor of cell death (non-protein coding)	104355217		
ERICH1	glutamate rich 1	157697	MGI:3588201	NM_207332
ERICH1-AS1~withdrawn	symbol withdrawn, see DLGAP2			
ERICH2	glutamate rich 2	285141	MGI:1913998	
ERICH3	glutamate rich 3	127254	MGI:1919095	NM_001002912
ERICH3-AS1	ERICH3 antisense RNA 1	101927320		
ERICH4	glutamate rich 4	100170765	MGI:3646269	NM_001130514
ERICH5	glutamate rich 5	203111	MGI:2447772	NM_173549
ERICH6	glutamate rich 6	131831	MGI:3588212	NM_152394
ERICH6-AS1	ERICH6 antisense RNA 1	101928085		
ERICH6B	glutamate rich 6B	220081	MGI:1922522	NM_182542
ERK~withdrawn	symbol withdrawn, see EPHB2			
ERLEC1	endoplasmic reticulum lectin 1	27248	MGI:1914003	NM_015701
ERLEC1P1	endoplasmic reticulum lectin 1 pseudogene 1	100288870		
ERLIN1	ER lipid raft associated 1	10613	MGI:2387613	NM_006459
ERLIN2	ER lipid raft associated 2	11160	MGI:2387215	NM_007175
ERLNC1	estrogen receptor responsive lncRNA 1	101929441		NR_123739
ERMAP	erythroblast membrane associated protein (Scianna blood group)	114625	MGI:1349816	NM_018538
ERMARD	ER membrane associated RNA degradation	55780	MGI:1917317	NM_018341
ERMN	ermin	57471	MGI:1925017	NM_001009959
ERMP1	endoplasmic reticulum metallopeptidase 1	79956	MGI:106250	NM_024896
ERN1	endoplasmic reticulum to nucleus signaling 1	2081	MGI:1930134	NM_001433
ERN2	endoplasmic reticulum to nucleus signaling 2	10595	MGI:1349436	
ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	30001	MGI:1354385	NM_014584
ERO1B	endoplasmic reticulum oxidoreductase 1 beta	56605	MGI:1914725	NM_019891
ERP27	endoplasmic reticulum protein 27	121506	MGI:1916437	NM_152321
ERP29	endoplasmic reticulum protein 29	10961	MGI:1914647	
ERP29P1	endoplasmic reticulum lumenal protein 29 pseudogene 1	100420612		NG_000933
ERP44	endoplasmic reticulum protein 44	23071	MGI:1923549	XM_088476
ERPL1~withdrawn	entry withdrawn			
ERPL2~withdrawn	entry withdrawn			
ERR~withdrawn	symbol withdrawn, see SLC7A1			
ERRFI1	ERBB receptor feedback inhibitor 1	54206	MGI:1921405	NM_018948
ERRFI1-IT1~withdrawn	entry withdrawn			
ERV1~withdrawn	entry withdrawn			
ERV3-1	endogenous retrovirus group 3 member 1, envelope	2086		NM_001007253
ERV3-2	endogenous retrovirus group 3 member 2	57612		
ERV9-1	endogenous retrovirus group 9 member 1	100616497		
ERV18-1	endogenous retrovirus group 18 member 1	100133791		
ERVE-1	endogenous retrovirus group E member 1	85314		
ERVE-2	endogenous retrovirus group E member 2	100862691		
ERVE-3	endogenous retrovirus group E member 3	100862700		
ERVE-4	endogenous retrovirus group E member 4	100616105		
ERVFC1-1	endogenous retrovirus group FC1 member 1, envelope	346547		
ERVFC1~withdrawn	entry withdrawn			
ERVFH21-1	endogenous retrovirus group FH21 member 1	100616104		
ERVFRD-1	endogenous retrovirus group FRD member 1, envelope	405754		NM_207582
ERVFRD-2	endogenous retrovirus group FRD member 2	388560		
ERVFRD-3	endogenous retrovirus group FRD member 3	100533725		
ERVH-1	endogenous retrovirus group H member 1	100616446		
ERVH-2	endogenous retrovirus group H member 2	100616461		
ERVH-3	endogenous retrovirus group H member 3	100289683		
ERVH-4	endogenous retrovirus group H member 4	51359		
ERVH-5	endogenous retrovirus group H member 5	100862699		
ERVH-6	endogenous retrovirus group H member 6	51581		
ERVH-7	endogenous retrovirus group H member 7	100862698		
ERVH-8	endogenous retrovirus group H member 8, envelope			
ERVH-9	endogenous retrovirus group H member 9, envelope			
ERVH-10	endogenous retrovirus group H member 10, envelope			
ERVH48-1	endogenous retrovirus group 48 member 1	90625		
ERVI-1	endogenous retrovirus group I member 1	100131068		
ERVK-1	endogenous retrovirus group K member 1			
ERVK-2	endogenous retrovirus group K member 2	100616100		
ERVK-3	endogenous retrovirus group K member 3			
ERVK-4	endogenous retrovirus group K member 4	60359		
ERVK-5	endogenous retrovirus group K member 5	60358		
ERVK-6	endogenous retrovirus group K member 6, envelope	64006		NM_001007236
ERVK-7	endogenous retrovirus group K member 7	449619		
ERVK-8	endogenous retrovirus group K member 8, envelope	619465		
ERVK-9	endogenous retrovirus group K member 9			
ERVK-10	endogenous retrovirus group K member 10	100616101		
ERVK-11	endogenous retrovirus group K member 11			
ERVK-12	endogenous retrovirus group K member 12			
ERVK-13	endogenous retrovirus group K member 13			
ERVK-14	endogenous retrovirus group K member 14			
ERVK-15	endogenous retrovirus group K member 15			
ERVK-16	endogenous retrovirus group K member 16			
ERVK-17	endogenous retrovirus group K member 17			
ERVK-18	endogenous retrovirus group K member 18			
ERVK-19	endogenous retrovirus group K member 19, envelope			
ERVK-20	endogenous retrovirus group K member 20			
ERVK-21	endogenous retrovirus group K member 21, envelope			
ERVK-22	endogenous retrovirus group K member 22			
ERVK-23	endogenous retrovirus group K member 23			
ERVK-24	endogenous retrovirus group K member 24			
ERVK-25	endogenous retrovirus group K member 25			
ERVK-26	endogenous retrovirus group K member 26			
ERVK-27	endogenous retrovirus group K member 27			
ERVK-28	endogenous retrovirus group K member 28			
ERVK-29	endogenous retrovirus group K member 29			
ERVK-30	endogenous retrovirus group K member 30			
ERVK-31	endogenous retrovirus group K member 31			
ERVK-32	endogenous retrovirus group K member 32, envelope			
ERVK2~withdrawn	entry withdrawn			
ERVK3-1	endogenous retrovirus group K3 member 1	105372481		
ERVK3-2	endogenous retrovirus group K3 member 2			
ERVK3-3	endogenous retrovirus group K3 member 3			
ERVK3-4	endogenous retrovirus group K3 member 4			
ERVK3-5	endogenous retrovirus group K3 member 5			
ERVK3-6	endogenous retrovirus group K3 member 6			
ERVK3-7	endogenous retrovirus group K3 member 7			
ERVK3-8	endogenous retrovirus group K3 member 8			
ERVK3~withdrawn	entry withdrawn			
ERVK9-1	endogenous retrovirus group K9, member 1			
ERVK9-2	endogenous retrovirus group K9, member 2			
ERVK9-3	endogenous retrovirus group K9, member 3			
ERVK9-4	endogenous retrovirus group K9, member 4			
ERVK9-5	endogenous retrovirus group K9, member 5			
ERVK9-6	endogenous retrovirus group K9, member 6			
ERVK9-7	endogenous retrovirus group K9, member 7			
ERVK9-8	endogenous retrovirus group K9, member 8			
ERVK9-9	endogenous retrovirus group K9, member 9			
ERVK9-10	endogenous retrovirus group K9, member 10			
ERVK9-11	endogenous retrovirus group K9, member 11			
ERVK9-12	endogenous retrovirus group K9, member 12	105375011		
ERVK11-1	endogenous retrovirus group K11 member 1			
ERVK13-1	endogenous retrovirus group K13 member 1	100507321		NR_040023
ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope	100288413		NM_024534
ERVMER61-1	endogenous retrovirus group MER61 member 1	339476		NM_001012274
ERVPABLB-1	endogenous retrovirus group PABLB member 1, envelope	100862693		
ERVS71-1	endogenous retrovirus group S71 member 1, envelope	100862694		
ERVS71-2	endogenous retrovirus group S71 member 2	100616200		
ERVT1~withdrawn	entry withdrawn			
ERVT2~withdrawn	entry withdrawn			
ERVT3~withdrawn	entry withdrawn			
ERVT4~withdrawn	entry withdrawn			
ERVT5~withdrawn	entry withdrawn			
ERVV-1	endogenous retrovirus group V member 1, envelope	147664		NM_152473
ERVV-2	endogenous retrovirus group V member 2, envelope	100271846		NM_001191055
ERVW-1	endogenous retrovirus group W member 1, envelope	30816		NM_014590
ERVW-2	endogenous retrovirus group W member 2	100379323		
ERVW-3	endogenous retrovirus group W member 3			
ERVW-4	endogenous retrovirus group W member 4	100616496		
ERVW-5	endogenous retrovirus group W member 5	100862695		
ERVW-6	endogenous retrovirus group W member 6	100616198		
ERVW-7	endogenous retrovirus group W member 7			
ERVW-8	endogenous retrovirus group W member 8			
ERVW-9	endogenous retrovirus group W member 9			
ERVW-10	endogenous retrovirus group W member 10			
ERVW-11	endogenous retrovirus group W member 11			
ERVW-12	endogenous retrovirus group W member 12			
ERVW-13	endogenous retrovirus group W member 13			
ERVW-14	endogenous retrovirus group W member 14			
ERVW-15	endogenous retrovirus group W member 15			
ERVW-16	endogenous retrovirus group W member 16			
ERVW-17	endogenous retrovirus group W member 17			
ERVW-18	endogenous retrovirus group W member 18			
ERVW-19	endogenous retrovirus group W member 19			
ERVW-20	endogenous retrovirus group W member 20			
ERVW-21	endogenous retrovirus group W member 21			
ERVW-22	endogenous retrovirus group W member 22			
ERVW-23	endogenous retrovirus group W member 23			
ERVW-24	endogenous retrovirus group W member 24			
ERVW-25	endogenous retrovirus group W member 25			
ERVW-26	endogenous retrovirus group W member 26			
ERVW-27	endogenous retrovirus group W member 27			
ERVW-28	endogenous retrovirus group W member 28			
ERVW-29	endogenous retrovirus group W member 29			
ESA4	esterase A4	2090		
ESAM	endothelial cell adhesion molecule	90952	MGI:1916774	NM_138961
ESAT	esterase activator	2096		
ESB3	esterase B3			
ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1	114799	MGI:1925055	NM_052911
ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2	157570	MGI:1919238	NM_001017420
ESD	esterase D	2098	MGI:95421	
ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	51575	MGI:1913830	NM_016649
ESM1	endothelial cell specific molecule 1	11082	MGI:1918940	NM_007036
ESPL1	extra spindle pole bodies like 1, separase	9700	MGI:2146156	NM_012291
ESPN	espin	83715	MGI:1861630	NM_031475
ESPNL	espin like	339768	MGI:2685402	NM_194312
ESPNP	espin pseudogene	284729		
ESR1	estrogen receptor 1	2099	MGI:1352467	NM_000125
ESR2	estrogen receptor 2	2100	MGI:109392	
ESRG	embryonic stem cell related (non-protein coding)	790952		NR_027122
ESRL1~withdrawn	symbol withdrawn, see ESRRA			
ESRL2~withdrawn	symbol withdrawn, see ESRRB			
ESRP1	epithelial splicing regulatory protein 1	54845	MGI:1917326	NM_017697
ESRP2	epithelial splicing regulatory protein 2	80004	MGI:1924661	NM_024939
ESRRA	estrogen related receptor alpha	2101	MGI:1346831	NM_004451
ESRRAP1	estrogen-related receptor alpha pseudogene 1	144847		NG_001009
ESRRAP2	estrogen-related receptor alpha pseudogene 2	144832		NR_000033
ESRRB	estrogen related receptor beta	2103	MGI:1346832	
ESRRG	estrogen related receptor gamma	2104	MGI:1347056	NM_206595
ESS2	ess-2 splicing factor homolog	8220	MGI:107854	
ESTF~withdrawn	symbol withdrawn, see MAP3K8			
ESX~withdrawn	symbol withdrawn, see ELF3			
ESX1	ESX homeobox 1	80712	MGI:1096388	NM_153448
ESYT1	extended synaptotagmin 1	23344	MGI:1344426	NM_015292
ESYT2	extended synaptotagmin 2	57488	MGI:1261845	NM_020728
ESYT3	extended synaptotagmin 3	83850	MGI:1098699	NM_031913
ETAA1	ETAA1, ATR kinase activator	54465	MGI:1915395	NM_019002
ETDA	embryonic testis differentiation homolog A	101928677	MGI:1916751	
ETDB	embryonic testis differentiation homolog B	100129515	MGI:1916751	NR_033941
ETDC	embryonic testis differentiation homolog C		MGI:1916751	
ETF1	eukaryotic translation termination factor 1	2107	MGI:2385071	NM_004730
ETF1P1	eukaryotic translation termination factor 1 pseudogene 1	6824		NG_001028
ETF1P2	eukaryotic translation termination factor 1 pseudogene 2	6825		
ETF1P3	eukaryotic translation termination factor 1 pseudogene 3	100132121		
ETFA	electron transfer flavoprotein alpha subunit	2108	MGI:106092	NM_000126
ETFB	electron transfer flavoprotein beta subunit	2109	MGI:106098	
ETFBKMT	electron transfer flavoprotein beta subunit lysine methyltransferase	254013	MGI:2443575	NM_173802
ETFDH	electron transfer flavoprotein dehydrogenase	2110	MGI:106100	
ETFRF1	electron transfer flavoprotein regulatory factor 1	144363	MGI:1914886	NM_001001660
ETHE1	ETHE1, persulfide dioxygenase	23474	MGI:1913321	NM_014297
ETK1~withdrawn	symbol withdrawn, see EPHA3			
ETK2~withdrawn	symbol withdrawn, see EPHB3			
ETM1	essential tremor 1			
ETM2	essential tremor 2			
ETNK1	ethanolamine kinase 1	55500	MGI:1922570	NM_018638
ETNK2	ethanolamine kinase 2	55224	MGI:2443760	NM_018208
ETNPPL	ethanolamine-phosphate phospho-lyase	64850	MGI:1919010	NM_031279
ETS1	ETS proto-oncogene 1, transcription factor	2113	MGI:95455	NM_005238
ETS2	ETS proto-oncogene 2, transcription factor	2114	MGI:95456	
ETV1	ETS variant 1	2115	MGI:99254	NM_004956
ETV2	ETS variant 2	2116	MGI:99253	XM_209182
ETV3	ETS variant 3	2117	MGI:1350926	NM_005240
ETV3L	ETS variant 3 like	440695	MGI:3646099	NM_001004341
ETV4	ETS variant 4	2118	MGI:99423	NM_001986
ETV5	ETS variant 5	2119	MGI:1096867	NM_004454
ETV5-AS1	ETV5 antisense RNA 1			
ETV6	ETS variant 6	2120	MGI:109336	NM_001987
ETV7	ETS variant 7	51513		NM_016135
EVA1A	eva-1 homolog A, regulator of programmed cell death	84141	MGI:2385247	NM_032181
EVA1B	eva-1 homolog B	55194	MGI:1922063	NM_018166
EVA1C	eva-1 homolog C	59271	MGI:1918217	NM_058187
EVC	EvC ciliary complex subunit 1	2121	MGI:1890596	
EVC2	EvC ciliary complex subunit 2	132884	MGI:1915775	NM_147127
EVI2A	ecotropic viral integration site 2A	2123	MGI:95458	NM_014210
EVI2B	ecotropic viral integration site 2B	2124	MGI:1890682	NM_006495
EVI5	ecotropic viral integration site 5	7813	MGI:104736	NM_005665
EVI5L	ecotropic viral integration site 5 like	115704	MGI:2442167	NM_145245
EVI9~withdrawn	symbol withdrawn, see BCL11A			
EVL	Enah/Vasp-like	51466	MGI:1194884	
EVPL	envoplakin	2125	MGI:107507	NM_001988
EVPLL	envoplakin like	645027		NM_001145127
EVR1~withdrawn	symbol withdrawn, see FZD4			
EVR2~withdrawn	symbol withdrawn, see NDP			
EVR3	exudative vitreoretinopathy 3	81864		
EVX1	even-skipped homeobox 1	2128	MGI:95461	
EVX1-AS	EVX1 antisense RNA			
EVX2	even-skipped homeobox 2	344191	MGI:95462	
EWSAT1	Ewing sarcoma associated transcript 1	283673		NR_026949
EWSR1	EWS RNA binding protein 1	2130	MGI:99960	NM_005243
EWSR2~withdrawn	symbol withdrawn, see ETS1			
EXD1	exonuclease 3'-5' domain containing 1	161829	MGI:3045306	NM_152596
EXD2	exonuclease 3'-5' domain containing 2	55218	MGI:1922485	
EXD3	exonuclease 3'-5' domain containing 3	54932		NM_017820
EXLD1~withdrawn	symbol withdrawn, see HAPLN3			
EXO1	exonuclease 1	9156	MGI:1349427	NM_006027
EXO5	exonuclease 5	64789	MGI:1920422	NM_022774
EXOC1	exocyst complex component 1	55763	MGI:2445020	NM_018261
EXOC1L	exocyst complex component 1 like	644145	MGI:3647743	NM_001351574
